,player,position,age,team,games,games_started,mins_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
419,Zaza Pachulia,C,32,GSW,70,70,18.1,2.3,4.4,0.534,0.0,0.0,0.0,2.3,4.4,0.538,0.534,1.4,1.4,0.778,2.0,3.9,5.9,1.9,0.8,0.5,1.2,2.4,6.1
420,Georgios Papagiannis,C,19,SAC,22,0,16.1,2.5,4.6,0.549,0.0,0.1,0.0,2.5,4.5,0.56,0.549,0.5,0.5,0.857,1.1,2.8,3.9,0.9,0.1,0.8,1.1,2.0,5.6
421,Jabari Parker,PF,21,MIL,51,50,33.9,7.8,16.0,0.49,1.3,3.5,0.365,6.5,12.5,0.525,0.53,3.2,3.2,0.743,1.5,4.6,6.2,2.8,1.0,0.4,1.8,2.2,20.1
422,Tony Parker,PG,34,SAS,63,63,25.2,4.2,9.0,0.466,0.4,1.1,0.333,3.8,7.9,0.484,0.486,1.3,1.3,0.726,0.1,1.7,1.8,4.5,0.5,0.0,1.4,1.5,10.1
423,Chandler Parsons,SF,28,MEM,34,34,19.9,2.2,6.5,0.338,0.7,2.7,0.269,1.5,3.8,0.388,0.394,1.0,1.0,0.814,0.2,2.3,2.5,1.6,0.6,0.1,0.7,1.5,6.2
424,Lamar Patterson,SG,25,ATL,5,0,8.0,0.6,3.0,0.2,0.2,1.2,0.167,0.4,1.8,0.222,0.233,0.4,0.4,0.667,0.2,1.2,1.4,1.2,0.2,0.0,0.8,1.2,1.8
425,Patrick Patterson,PF,27,TOR,65,8,24.6,2.4,5.9,0.401,1.4,3.9,0.372,0.9,2.0,0.458,0.523,0.7,0.7,0.717,1.0,3.6,4.5,1.2,0.6,0.4,0.6,1.8,6.8
426,Chris Paul,PG,31,LAC,61,61,31.5,6.1,12.9,0.476,2.0,5.0,0.411,4.1,7.9,0.518,0.555,3.8,3.8,0.892,0.7,4.3,5.0,9.2,2.0,0.1,2.4,2.4,18.1
427,Adreian Payne,PF,25,MIN,18,0,7.5,1.3,3.0,0.426,0.2,0.8,0.2,1.1,2.2,0.513,0.454,0.8,0.8,0.737,0.5,1.3,1.8,0.4,0.4,0.4,0.4,1.8,3.5
428,Cameron Payne,PG,22,TOT,31,0,14.9,2.1,6.2,0.332,0.9,2.8,0.314,1.2,3.5,0.346,0.402,0.2,0.2,0.625,0.1,1.5,1.5,1.8,0.5,0.1,0.9,1.7,5.2
429,Cameron Payne,PG,22,OKC,20,0,16.0,2.2,6.5,0.331,0.8,2.6,0.308,1.4,3.9,0.346,0.392,0.2,0.2,1.0,0.1,1.5,1.6,2.0,0.5,0.2,0.8,1.9,5.3
430,Cameron Payne,PG,22,CHI,11,0,12.9,1.9,5.7,0.333,1.0,3.1,0.324,0.9,2.6,0.345,0.421,0.1,0.1,0.25,0.1,1.5,1.5,1.4,0.4,0.0,1.2,1.3,4.9
